[2024-08-20 17:47:33,768: INFO: demo: This is a test message]
[2024-08-21 20:16:09,560: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:17:49,989: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:17:49,990: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:21:07,806: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:21:07,808: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:21:07,808: INFO: common: created directory at: artifacts]
[2024-08-21 20:21:07,809: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:25:08,359: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:25:08,361: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:25:08,361: INFO: common: created directory at: artifacts]
[2024-08-21 20:25:08,362: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:29:34,662: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:29:34,664: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:29:34,665: INFO: common: created directory at: artifacts]
[2024-08-21 20:29:34,665: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:29:34,669: INFO: 1084911501: Kaggle API Authenticated]
[2024-08-21 20:35:37,626: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:35:37,628: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:35:37,628: INFO: common: created directory at: artifacts]
[2024-08-21 20:35:37,629: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:35:37,632: INFO: 2946214973: Kaggle API Authenticated]
[2024-08-21 20:37:22,081: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:37:22,083: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:37:22,084: INFO: common: created directory at: artifacts]
[2024-08-21 20:37:22,084: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:37:22,088: INFO: 2946214973: Kaggle API Authenticated]
[2024-08-21 20:37:22,089: INFO: 2946214973: Downloading data from kaggle into file artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 20:39:12,326: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:39:12,327: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:39:12,328: INFO: common: created directory at: artifacts]
[2024-08-21 20:39:12,328: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:39:12,331: INFO: 28424253: Kaggle API Authenticated]
[2024-08-21 20:39:12,332: INFO: 28424253: Downloading data from kaggle into file artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 20:41:29,901: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:41:29,903: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:41:29,904: INFO: common: created directory at: artifacts]
[2024-08-21 20:41:29,905: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:41:29,908: INFO: 2946214973: Kaggle API Authenticated]
[2024-08-21 20:41:29,909: INFO: 2946214973: Downloading data from kaggle into file artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 20:42:18,077: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:42:18,078: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:42:18,078: INFO: common: created directory at: artifacts]
[2024-08-21 20:42:18,079: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:42:18,083: INFO: 2946214973: Kaggle API Authenticated]
[2024-08-21 20:42:18,084: INFO: 2946214973: Downloading data from kaggle into file artifacts/data_ingestion/]
[2024-08-21 20:42:32,860: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:42:32,861: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:42:32,862: INFO: common: created directory at: artifacts]
[2024-08-21 20:42:32,863: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:42:32,867: INFO: 2946214973: Kaggle API Authenticated]
[2024-08-21 20:42:32,867: INFO: 2946214973: Downloading data from kaggle into file artifacts/data_ingestion/]
[2024-08-21 20:44:59,572: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:44:59,573: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:44:59,574: INFO: common: created directory at: artifacts]
[2024-08-21 20:44:59,575: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:44:59,578: INFO: 4180689990: Kaggle API Authenticated]
[2024-08-21 20:44:59,579: INFO: 4180689990: Downloading data from kaggle into file artifacts/data_ingestion/]
[2024-08-21 20:45:40,236: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:45:40,238: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:45:40,238: INFO: common: created directory at: artifacts]
[2024-08-21 20:45:40,239: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:45:40,243: INFO: 1641686220: Kaggle API Authenticated]
[2024-08-21 20:45:40,244: INFO: 1641686220: Downloading data from kaggle into file artifacts/data_ingestion/]
[2024-08-21 20:56:41,299: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:56:41,301: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:56:41,301: INFO: common: created directory at: artifacts]
[2024-08-21 20:56:41,302: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:56:41,306: INFO: 1182142144: Kaggle API Authenticated]
[2024-08-21 20:56:41,307: INFO: 1182142144: Downloading data from kaggle into file artifacts/data_ingestion/]
[2024-08-21 20:57:07,591: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:57:07,592: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:57:07,593: INFO: common: created directory at: artifacts]
[2024-08-21 20:57:07,593: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:57:07,597: INFO: 1182142144: Kaggle API Authenticated]
[2024-08-21 20:57:07,598: INFO: 1182142144: Downloading data from kaggle into file artifacts/data_ingestion/]
[2024-08-21 20:57:37,138: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 20:57:37,139: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 20:57:37,140: INFO: common: created directory at: artifacts]
[2024-08-21 20:57:37,141: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:57:37,144: INFO: 1182142144: Kaggle API Authenticated]
[2024-08-21 20:57:37,145: INFO: 1182142144: Downloading data from kaggle into file artifacts/data_ingestion/]
[2024-08-21 21:02:38,660: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 21:02:38,662: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 21:02:38,662: INFO: common: created directory at: artifacts]
[2024-08-21 21:02:38,663: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 21:02:38,667: INFO: 202220388: Kaggle API Authenticated]
[2024-08-21 21:06:03,545: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 21:06:03,546: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 21:06:03,547: INFO: common: created directory at: artifacts]
[2024-08-21 21:06:03,548: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 21:06:03,553: INFO: 924857465: Kaggle API Authenticated]
[2024-08-21 23:26:09,929: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:26:09,931: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:26:09,931: INFO: common: created directory at: artifacts]
[2024-08-21 23:26:09,932: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:26:09,936: INFO: 1589711347: Kaggle API Authenticated]
[2024-08-21 23:26:09,937: INFO: 1589711347: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/]
